REF_AREA,TIME_PERIOD,OBS_VALUE_mortality,OBS_VALUE_gdp,OBS_VALUE_hdi,OBS_VALUE_health_exp,OBS_VALUE_hosp_beds,OBS_VALUE_life_exp,OBS_VALUE_social_expenditure,OBS_VALUE_unemp
TUR,2012,242,9519.81508910914,0.772,4.444,2.66,75.552,11.947,8.3
TUR,2013,276,10195.8475785153,0.802,4.371,2.65,76.171,11.756,8.9
TUR,2014,277,10556.1170411504,0.813,4.325,2.68,76.452,11.66,9.9
TUR,2015,273,11049.9951100942,0.821,4.117,2.68,76.539,11.541,10.3
TUR,2016,276,11264.6145749335,0.826,4.285,2.75,76.595,12.534,10.9
TUR,2017,268,11953.6664174026,0.833,4.18,2.81,77.037,11.999,10.9
TUR,2018,251,12148.2931275476,0.838,4.121,2.85,77.454,11.76,10.9
TUR,2019,233,12073.8690708145,0.841,4.36,2.88,77.737,12.416,13.7
TUR,2020,292,12179.6626536773,0.838,4.616,3.01,76.525,13.143,13.1
TUR,2021,315,13449.9291299333,0.841,4.561,3.02,75.722,11.037,12
TUR,2022,243,14055.1031460453,0.853,3.703,3.09,77.591,8.435,10.4
TUR,2023,287,14713.5670729157,0.853,4.275,3.12,77.156,10.037,9.4
GBR,2001,293,39769.8719792093,0.876,7.433,4.04,77.9926829268293,19.791,5.1
GBR,2002,285,40312.9824110757,0.881,7.859,3.98,78.1439024390244,19.843,5.2
GBR,2003,278,41390.6062127939,0.886,8.052,3.95,78.4463414634146,20.675,5
GBR,2004,265,42167.3557264259,0.897,8.322,3.86,78.7463414634146,21.21,4.75
GBR,2005,257,43023.2277090836,0.903,8.381,3.72,79.0487804878049,21.261,4.825
GBR,2006,250,43724.8957366594,0.902,8.54,3.54,79.2487804878049,21.265,5.425
GBR,2007,243,44524.5706965197,0.905,8.76,3.39,79.4487804878049,21.473,5.35
GBR,2008,239,44065.6156693521,0.91,9.033,3.33,79.6,22.791,5.725
GBR,2009,227,41712.8319164411,0.915,9.839,3.27,80.0512195121951,25.094,7.625
GBR,2010,221,42311.4329830247,0.921,9.788,2.93,80.4024390243902,25.234,7.9
GBR,2011,213,42459.9630182272,0.916,9.797,2.88,80.9512195121951,25.076,8.1
GBR,2012,205,42794.7752628767,0.917,9.893,2.81,80.9048780487805,25.279,7.95
GBR,2013,203,43274.3377519631,0.931,9.991,2.76,81.0048780487805,24.583,7.575
GBR,2014,201,44324.3923234579,0.932,9.977,2.73,81.3048780487805,24.024,6.175
GBR,2015,202,44983.885522934,0.931,9.94,2.61,80.9560975609756,23.698,5.375
GBR,2016,202,45485.6509977812,0.934,9.871,2.57,81.1560975609756,22.9,4.875
GBR,2017,198,46439.8616757792,0.937,9.705,2.54,81.2560975609756,22.647,4.425
GBR,2018,204,46862.9673585729,0.936,9.795,2.5,81.2560975609756,22.223,4.075
GBR,2019,194,47379.8014800553,0.941,9.98,2.46,81.3691219512195,22.252,3.825
GBR,2020,222,42429.185799645304,0.93,12.104,2.44,80.331756097561,25.609,4.625
GBR,2021,227,45902.8331986448,0.941,12.083,2.43,80.6473170731707,24.404,4.55
USA,2000,336,48616.2546267835,0.895,12.49,3.49,76.6365853658537,14.123,3.967
USA,2001,331,48597.4246130164,0.897,13.168,3.47,76.8365853658537,14.698,4.742
USA,2002,328,48967.3661209521,0.898,13.995,3.39,76.9365853658537,15.535,5.783
USA,2003,323,49905.5233079503,0.9,14.506,3.33,77.0365853658537,15.801,5.992
USA,2004,313,51348.3473392466,0.905,14.551,3.26,77.4878048780488,15.664,5.542
USA,2005,310,52649.5713058632,0.907,14.579,3.2,77.4878048780488,15.494,5.083
USA,2006,304,53596.3152369749,0.911,14.709,3.18,77.6878048780488,15.544,4.608
USA,2007,297,54152.8292653448,0.914,14.918,3.14,77.9878048780488,15.676,4.617
USA,2008,292,53703.9628962873,0.914,15.207,3.13,78.0390243902439,16.251,5.8
USA,2009,284,51863.6183424227,0.915,16.201,3.08,78.390243902439,18.32,9.283
USA,2010,277,52812.682985453,0.919,16.197,3.05,78.5414634146342,19.048,9.608
USA,2011,276,53215.5362316915,0.92,16.14,2.97,78.6414634146341,18.749,8.933
USA,2012,272,54000.8410760833,0.923,16.12,2.93,78.7414634146342,18.483,8.075
USA,2013,271,54728.8601798884,0.925,15.952,2.89,78.7414634146342,18.421,7.358
USA,2014,271,55665.2411167663,0.926,16.142,2.83,78.8414634146341,18.41,6.158
USA,2015,273,56849.4697923159,0.928,16.402,2.8,78.690243902439,18.483,5.275
USA,2016,275,57430.8499282527,0.929,16.692,2.77,78.5390243902439,18.588,4.875
USA,2017,275,58435.9707521832,0.931,16.638,2.86,78.5390243902439,18.386,4.358
USA,2018,270,59817.6556796969,0.934,16.513,2.83,78.6390243902439,18.153,3.892
USA,2019,267,61047.9648235152,0.936,16.545,2.8,78.7878048780488,18.202,3.675
USA,2020,328,59484.0335530935,0.925,18.516,2.78,76.9804878048781,23.677,8.1
USA,2021,363,62986.6563127547,0.921,17.352,2.77,76.3292682926829,21.619,5.358
USA,2022,312,64198.4324880296,0.93,16.529,2.75,77.4341463414634,18.98,3.642
BGR,2005,482,5231.33817610444,0.775,6.89,6.48,72.5609756097561,14.855,10.172
BGR,2006,462,5629.80131778982,0.779,6.525,6.28,72.6121951219512,14.036,9.022
BGR,2007,454,6048.74234259616,0.785,6.157,6.46,72.6634146341463,13.14,6.935
BGR,2008,434,6464.72203037118,0.791,6.283,6.61,72.9634146341463,13.807,5.664
BGR,2009,405,6288.72548913763,0.793,6.596,6.72,73.4121951219512,15.624,6.878
BGR,2010,386,6428.71747401797,0.799,7.095,6.62,73.5121951219512,16.269,10.211
BGR,2011,365,6605.30857880385,0.803,7.103,6.45,74.1634146341463,15.477,11.349
BGR,2012,382,6693.42776100824,0.807,7.539,6.61,74.3146341463415,16.455,12.38
BGR,2013,357,6792.73551393835,0.815,7.142,6.92,74.8609756097561,17.75,13.038
BGR,2014,370,6941.01854679167,0.819,7.683,7.28,74.4658536585366,18.419,11.524
BGR,2015,366,7268.65445473873,0.824,7.394,7.44,74.6146341463415,17.583,9.233
BGR,2016,353,7586.50414873238,0.827,7.46,7.52,74.8121951219512,17.21,7.666
BGR,2017,349,7898.70694583532,0.829,7.496,7.75,74.8146341463415,16.834,6.23
BGR,2018,344,8211.93640364397,0.832,7.341,7.92,74.9634146341464,16.84,5.273
BGR,2019,348,8644.24951911477,0.835,7.118,8.16,75.1121951219512,16.547,4.275
BGR,2020,436,8450.60388758371,0.826,8.441,8.28,73.3560975609756,19.585,5.207
BGR,2021,562,9168.85176416607,0.817,8.58,8.37,71.2121951219512,20.496,5.249
BGR,2022,389,9601.43271269533,0.835,7.638,8.46,74.1609756097561,NA,4.206
HRV,2000,550,8879.96498049361,0.769,NA,6.03,72.8078048780488,NA,20.592
HRV,2001,427,9515.40905552687,0.785,NA,6.19,74.5129268292683,NA,21.508
HRV,2002,413,10061.694309434,0.792,NA,5.85,74.7173170731707,NA,21.783
HRV,2003,418,10618.9433102196,0.798,6.297,5.79,74.6139024390244,NA,19.067
HRV,2004,394,11058.7184484755,0.807,6.507,5.7,75.520243902439,NA,17.783
HRV,2005,393,11522.3950059819,0.814,6.841,5.62,75.2446341463415,NA,17.583
HRV,2006,375,12105.053757832,0.819,6.904,5.62,75.8368292682927,NA,16.525
HRV,2007,375,12719.0032844824,0.825,7.389,5.65,75.7056097560976,NA,14.733
HRV,2008,371,12970.9291075827,0.827,7.636,5.63,75.9121951219512,19.504,13.033
HRV,2009,360,12099.7971276004,0.826,8.033,5.53,76.1682926829268,21.125,14.517
HRV,2010,352,11965.4854792127,0.831,7.949,5.78,76.4756097560976,21.216,17.167
HRV,2011,337,11995.1325319122,0.836,7.429,5.95,76.7756097560976,20.179,17.367
HRV,2012,332,11780.5330067439,0.839,7.453,5.89,77.1682926829268,20.627,18.6
HRV,2013,315,11839.2458156921,0.846,6.373,5.89,77.5707317073171,20.145,19.808
HRV,2014,313,11863.8584044911,0.848,6.566,5.96,77.7243902439024,20.687,19.275
HRV,2015,322,12285.3032582105,0.852,6.655,5.63,77.2756097560976,20.687,17.067
HRV,2016,304,12849.34640034,0.856,6.692,5.58,77.9219512195122,20.63,14.958
HRV,2017,304,13485.8816667037,0.862,6.628,5.65,77.7268292682927,20.345,12.433
HRV,2018,304,14060.7189510749,0.867,6.714,5.75,77.919512195122,20.594,9.858
HRV,2019,296,14641.2298817935,0.872,6.787,5.83,78.2243902439024,20.554,7.758
HRV,2020,322,13544.9715102628,0.867,7.684,5.86,77.5243902439024,23.499,9
HRV,2021,367,15394.4707328085,0.876,8.083,5.78,76.4243902439025,22.478,8.092
ROU,2000,592,4569.30914768462,0.73,NA,7.69,71.1634146341463,NA,7.592
ROU,2001,599,4875.30310600635,0.737,NA,7.83,71.1609756097561,NA,7.392
ROU,2002,616,5248.54994632668,0.745,NA,7.69,71.009756097561,NA,8.317
ROU,2003,598,5410.30835796252,0.749,5.371,6.8,71.309756097561,9.624,7.75
ROU,2004,570,6008.64048461485,0.757,5.477,6.81,71.5609756097561,9.561,7.983
ROU,2005,558,6328.09022324183,0.765,5.528,6.87,71.9121951219512,14.401,7.125
ROU,2006,538,6876.77841417966,0.781,5.071,6.87,72.1634146341463,13.653,7.175
ROU,2007,521,7483.97375820611,0.792,5.023,6.75,72.5658536585366,13.833,6.342
ROU,2008,516,8318.00342795388,0.815,5.023,6.88,72.5658536585366,14.547,5.6
ROU,2009,510,7924.87058070212,0.826,5.278,6.98,73.309756097561,16.634,8.425
ROU,2010,498,7660.70667630517,0.822,5.639,6.65,73.4585365853659,17.391,9.025
ROU,2011,458,8044.57194920892,0.823,4.475,6.5,74.409756097561,15.4,9.092
ROU,2012,459,8234.28553425194,0.817,4.509,6.6,74.4121951219512,14.697,8.692
ROU,2013,439,8287.95844089676,0.821,5.224,6.67,75.0634146341463,15.408,8.992
ROU,2014,437,8661.47397274241,0.82,5.028,6.71,74.909756097561,15.076,8.592
ROU,2015,434,8977.01748158196,0.823,4.943,6.79,74.9121951219512,14.865,8.392
ROU,2016,431,9286.87678236598,0.823,5.08,6.84,75.209756097561,15.172,7.2
ROU,2017,426,10106.2269557253,0.828,5.189,6.89,75.209756097561,15.241,6.092
ROU,2018,430,10788.015091463,0.833,5.515,6.97,75.3585365853659,15.281,5.25
ROU,2019,419,11270.4758020159,0.838,5.699,7.06,75.6073170731707,15.589,4.892
ROU,2020,492,10916.3126056493,0.832,6.21,7.12,74.2536585365854,17.621,6.075
ROU,2022,430,12114.8715109948,0.84,5.798,7.28,75.1536585365854,NA,5.625
